Country,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Syria,61000,155000,138000,98000,191000,203000,344000,386000,362000,562000,542000,307000,80000,51000,50000,56000,17000,12000,7000,6000,4000,9000,5000,3000,5000,5000,5000
Taiwan,2376000,2367000,2432000,2361000,2279000,2235000,2387000,2398000,2289000,2266000,2365000,2425000,2385000,2300000,2305000,2460000,2510000,2560000,2585000,2700000,2690000,2640000,2675000,2550000,2630000,2770000,2950000
Thailand,1484000,1571000,1793000,2018000,1637000,1762000,1693000,1742000,1882000,1735000,1880000,2098000,2145000,1960000,1926000,2245000,2905000,3110000,2560000,3159000,3815000,4032000,3660000,3220000,3520000,3920000,4240000
Trinidad and Tobago,71000,75000,97000,80000,71000,67000,4000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,4000,8000,9000,10000,10000
Tunisia,,,,,,,0,0,56000,166000,313000,419000,451000,439000,484000,489000,510000,462000,613000,610000,605000,545000,530000,555000,540000,520000,565000
Turkey,363000,388000,603000,780000,666000,811000,1064000,1251000,1243000,1081000,1394000,1480000,1410000,1430000,1650000,2250000,2350000,2200000,2700000,2650000,2975000,2975000,2950000,2950000,3450000,4000000,4050000
Uganda,101000,105000,128000,165000,187000,158000,157000,170000,171000,173000,175000,176000,27000,18000,18000,23000,25000,20000,20000,99000,118000,121000,135000,153000,130000,130000,130000
Ukraine,37000,62000,86000,118000,172000,315000,376000,478000,524000,538000,660000,740000,1030000,990000,1350000,1581000,1621000,1351000,1311000,2156000,2021000,1526000,1501000,1701000,2000000,3075000,3175000
United Arab Emirates,0,,0,159000,210000,327000,359000,522000,427000,147000,51000,1000,142000,202000,137000,59000,37000,16000,32000,14000,10000,52000,44000,62000,117000,107000,74000
United States of America,47388000,49203000,50867000,47524000,44600000,51407000,52751000,53473000,51627000,48112000,50724000,48351000,48786000,48550000,50043000,54989000,54475000,55719000,58873000,59924000,61782000,61287000,62893000,63302000,65445000,69088000,72992000
Uruguay,7000,11000,19000,17000,33000,25000,27000,34000,46000,56000,60000,115000,135000,155000,220000,210000,215000,210000,210000,210000,210000,220000,225000,100000,300000,350000,320000
Uzbekistan,33000,54000,65000,70000,1000,5000,8000,10000,10000,10000,8000,10000,10000,10000,10000,8000,8000,10000,15000,28000,32000,27000,60000,60000,50000,70000,68000
Venezuela,162000,192000,84000,11000,23000,13000,56000,26000,82000,82000,152000,232000,202000,222000,212000,142000,132000,72000,247000,42000,48000,68000,68000,73000,133000,128000,133000
Vietnam,196000,179000,197000,235000,259000,252000,318000,329000,414000,445000,430000,1040000,1550000,1470000,1730000,1650000,1395000,1650000,2025000,1800000,1875000,1940000,2030000,1930000,2130000,2700000,2940000
Zambia,24000,3000,25000,3000,39000,55000,68000,73000,62000,57000,109000,122000,117000,183000,236000,248000,193000,201000,325000,303000,253000,273000,389000,440000,720000,730000,735000
Zimbabwe,106000,128000,69000,36000,91000,115000,81000,112000,52000,115000,70000,84000,54000,67000,66000,75000,68000,73000,63000,62000,70000,90000,77000,92000,154000,166000,166000
