ST_CTY,State Name,County Name,Crop Name,Program,Enrolled Base
01097,Alabama,Mobile,Oats,PLC,10.2
01097,Alabama,Mobile,Peanuts,PLC,"7,747.79"
01097,Alabama,Mobile,Seed Cotton,PLC,"3,626.85"
01097,Alabama,Mobile,Soybeans,PLC,643.49
01097,Alabama,Mobile,Wheat,PLC,711.02
01099,Alabama,Monroe,Corn,PLC,"2,913.30"
01099,Alabama,Monroe,Grain Sorghum,PLC,188.9
01099,Alabama,Monroe,Oats,PLC,404.68
01099,Alabama,Monroe,Peanuts,PLC,"8,303.65"
01099,Alabama,Monroe,Seed Cotton,PLC,"16,040.45"
01099,Alabama,Monroe,Soybeans,PLC,663.11
01099,Alabama,Monroe,Wheat,PLC,972.31
01101,Alabama,Montgomery,Corn,ARCCO,"2,810.38"
01101,Alabama,Montgomery,Corn,PLC,357.3
01101,Alabama,Montgomery,Grain Sorghum,ARCCO,392.46
01101,Alabama,Montgomery,Grain Sorghum,PLC,297.93
01101,Alabama,Montgomery,Oats,ARCCO,166.11
01101,Alabama,Montgomery,Oats,PLC,154.8
01101,Alabama,Montgomery,Seed Cotton,ARCCO,549.35
01101,Alabama,Montgomery,Soybeans,ARCCO,"1,027.76"
01101,Alabama,Montgomery,Wheat,ARCCO,"2,011.49"
01101,Alabama,Montgomery,Wheat,PLC,969.09
01103,Alabama,Morgan,Corn,ARCCO,"3,200.08"
01103,Alabama,Morgan,Corn,PLC,829.85
01103,Alabama,Morgan,Grain Sorghum,ARCCO,504.87
01103,Alabama,Morgan,Grain Sorghum,PLC,40.85
01103,Alabama,Morgan,Seed Cotton,ARCCO,"1,750.52"
01103,Alabama,Morgan,Soybeans,ARCCO,"3,131.86"
01103,Alabama,Morgan,Soybeans,PLC,698.53
01103,Alabama,Morgan,Wheat,ARCCO,"1,060.18"
01103,Alabama,Morgan,Wheat,PLC,"1,233.33"
01105,Alabama,Perry,Corn,ARCCO,469.56
01105,Alabama,Perry,Corn,PLC,"1,848.32"
01105,Alabama,Perry,Grain Sorghum,PLC,400.1
01105,Alabama,Perry,Oats,PLC,146.9
01105,Alabama,Perry,Peanuts,PLC,391.42
01105,Alabama,Perry,Seed Cotton,PLC,274.64
01105,Alabama,Perry,Soybeans,ARCCO,"2,168.61"
01105,Alabama,Perry,Soybeans,PLC,"3,557.19"
01105,Alabama,Perry,Wheat,ARCCO,"1,105.59"
01105,Alabama,Perry,Wheat,PLC,"7,703.04"
01107,Alabama,Pickens,Corn,ARCCO,"2,703.29"
01107,Alabama,Pickens,Corn,PLC,121.74
01107,Alabama,Pickens,Grain Sorghum,ARCCO,218.69
01107,Alabama,Pickens,Grain Sorghum,PLC,219.1
01107,Alabama,Pickens,Oats,ARCCO,47.07
01107,Alabama,Pickens,Seed Cotton,PLC,"1,088.36"
01107,Alabama,Pickens,Soybeans,ARCCO,"2,500.07"
01107,Alabama,Pickens,Wheat,ARCCO,281.02
01107,Alabama,Pickens,Wheat,PLC,"1,754.70"
01109,Alabama,Pike,Corn,ARCCO,309.63
01109,Alabama,Pike,Corn,PLC,"3,151.03"
01109,Alabama,Pike,Grain Sorghum,PLC,409.69
01109,Alabama,Pike,Oats,PLC,166.9
01109,Alabama,Pike,Peanuts,PLC,"9,484.44"
01109,Alabama,Pike,Seed Cotton,PLC,"3,362.65"
01109,Alabama,Pike,Soybeans,ARCCO,126.94
01109,Alabama,Pike,Soybeans,PLC,149.49
01109,Alabama,Pike,Wheat,ARCCO,74.21
01109,Alabama,Pike,Wheat,PLC,845.31
01111,Alabama,Randolph,Corn,ARCCO,337.5
01111,Alabama,Randolph,Corn,PLC,219.72
01111,Alabama,Randolph,Wheat,PLC,43.5
01113,Alabama,Russell,Corn,ARCCO,475.72
01113,Alabama,Russell,Corn,PLC,230.05
